Year,name,category,value
2020-01-01,Mammals,CR,203
2019-01-01,Mammals,CR,203
2018-01-01,Mammals,CR,201
2017-01-01,Mammals,CR,202
2016-01-01,Mammals,CR,204
2015-01-01,Mammals,CR,209
2014-01-01,Mammals,CR,213
2013-01-01,Mammals,CR,196
2012-01-01,Mammals,CR,196
2011-01-01,Mammals,CR,194
2010-01-01,Mammals,CR,188
2009-01-01,Mammals,CR,188
2008-01-01,Mammals,CR,188
2007-01-01,Mammals,CR,163
2006-01-01,Mammals,CR,162
2004-01-01,Mammals,CR,162
2003-01-01,Mammals,CR,184
2002-01-01,Mammals,CR,181
2000-01-01,Mammals,CR,180
1998-01-01,Mammals,CR,169
2020-01-01,Mammals,EN,506
2019-01-01,Mammals,EN,505
2018-01-01,Mammals,EN,482
2017-01-01,Mammals,EN,476
2016-01-01,Mammals,EN,464
2015-01-01,Mammals,EN,481
2014-01-01,Mammals,EN,477
2013-01-01,Mammals,EN,447
2012-01-01,Mammals,EN,446
2011-01-01,Mammals,EN,447
2010-01-01,Mammals,EN,450
2009-01-01,Mammals,EN,449
2008-01-01,Mammals,EN,448
2007-01-01,Mammals,EN,349
2006-01-01,Mammals,EN,348
2004-01-01,Mammals,EN,352
2003-01-01,Mammals,EN,337
2002-01-01,Mammals,EN,339
2000-01-01,Mammals,EN,340
1998-01-01,Mammals,EN,315
2020-01-01,Mammals,VU,537
2019-01-01,Mammals,VU,536
2018-01-01,Mammals,VU,536
2017-01-01,Mammals,VU,526
2016-01-01,Mammals,VU,526
2015-01-01,Mammals,VU,507
2014-01-01,Mammals,VU,509
2013-01-01,Mammals,VU,500
2012-01-01,Mammals,VU,497
2011-01-01,Mammals,VU,497
2010-01-01,Mammals,VU,493
2009-01-01,Mammals,VU,505
2008-01-01,Mammals,VU,505
2007-01-01,Mammals,VU,582
2006-01-01,Mammals,VU,583
2004-01-01,Mammals,VU,587
2003-01-01,Mammals,VU,609
2002-01-01,Mammals,VU,617
2000-01-01,Mammals,VU,610
1998-01-01,Mammals,VU,612
2020-01-01,Birds,CR,225
2019-01-01,Birds,CR,225
2018-01-01,Birds,CR,224
2017-01-01,Birds,CR,222
2016-01-01,Birds,CR,225
2015-01-01,Birds,CR,218
2014-01-01,Birds,CR,213
2013-01-01,Birds,CR,198
2012-01-01,Birds,CR,197
2011-01-01,Birds,CR,189
2010-01-01,Birds,CR,190
2009-01-01,Birds,CR,192
2008-01-01,Birds,CR,190
2007-01-01,Birds,CR,189
2006-01-01,Birds,CR,181
2004-01-01,Birds,CR,179
2003-01-01,Birds,CR,182
2002-01-01,Birds,CR,182
2000-01-01,Birds,CR,182
1998-01-01,Birds,CR,168
2020-01-01,Birds,EN,461
2019-01-01,Birds,EN,461
2018-01-01,Birds,EN,469
2017-01-01,Birds,EN,461
2016-01-01,Birds,EN,448
2015-01-01,Birds,EN,416
2014-01-01,Birds,EN,419
2013-01-01,Birds,EN,397
2012-01-01,Birds,EN,389
2011-01-01,Birds,EN,382
2010-01-01,Birds,EN,372
2009-01-01,Birds,EN,362
2008-01-01,Birds,EN,361
2007-01-01,Birds,EN,356
2006-01-01,Birds,EN,351
2004-01-01,Birds,EN,345
2003-01-01,Birds,EN,331
2002-01-01,Birds,EN,326
2000-01-01,Birds,EN,321
1998-01-01,Birds,EN,235
2020-01-01,Birds,VU,800
2019-01-01,Birds,VU,800
2018-01-01,Birds,VU,799
2017-01-01,Birds,VU,786
2016-01-01,Birds,VU,787
2015-01-01,Birds,VU,741
2014-01-01,Birds,VU,741
2013-01-01,Birds,VU,713
2012-01-01,Birds,VU,727
2011-01-01,Birds,VU,682
2010-01-01,Birds,VU,678
2009-01-01,Birds,VU,669
2008-01-01,Birds,VU,671
2007-01-01,Birds,VU,672
2006-01-01,Birds,VU,674
2004-01-01,Birds,VU,688
2003-01-01,Birds,VU,681
2002-01-01,Birds,VU,684
2000-01-01,Birds,VU,680
1998-01-01,Birds,VU,704
2020-01-01,Reptiles,CR,309
2019-01-01,Reptiles,CR,309
2018-01-01,Reptiles,CR,287
2017-01-01,Reptiles,CR,266
2016-01-01,Reptiles,CR,237
2015-01-01,Reptiles,CR,180
2014-01-01,Reptiles,CR,174
2013-01-01,Reptiles,CR,164
2012-01-01,Reptiles,CR,144
2011-01-01,Reptiles,CR,137
2010-01-01,Reptiles,CR,106
2009-01-01,Reptiles,CR,93
2008-01-01,Reptiles,CR,86
2007-01-01,Reptiles,CR,79
2006-01-01,Reptiles,CR,73
2004-01-01,Reptiles,CR,64
2003-01-01,Reptiles,CR,57
2002-01-01,Reptiles,CR,55
2000-01-01,Reptiles,CR,56
1998-01-01,Reptiles,CR,41
2020-01-01,Reptiles,EN,564
2019-01-01,Reptiles,EN,565
2018-01-01,Reptiles,EN,515
2017-01-01,Reptiles,EN,484
2016-01-01,Reptiles,EN,421
2015-01-01,Reptiles,EN,361
2014-01-01,Reptiles,EN,356
2013-01-01,Reptiles,EN,329
2012-01-01,Reptiles,EN,296
2011-01-01,Reptiles,EN,284
2010-01-01,Reptiles,EN,200
2009-01-01,Reptiles,EN,150
2008-01-01,Reptiles,EN,134
2007-01-01,Reptiles,EN,139
2006-01-01,Reptiles,EN,101
2004-01-01,Reptiles,EN,79
2003-01-01,Reptiles,EN,78
2002-01-01,Reptiles,EN,79
2000-01-01,Reptiles,EN,74
1998-01-01,Reptiles,EN,59
2020-01-01,Reptiles,VU,535
2019-01-01,Reptiles,VU,535
2018-01-01,Reptiles,VU,505
2017-01-01,Reptiles,VU,465
2016-01-01,Reptiles,VU,421
2015-01-01,Reptiles,VU,403
2014-01-01,Reptiles,VU,397
2013-01-01,Reptiles,VU,386
2012-01-01,Reptiles,VU,367
2011-01-01,Reptiles,VU,351
2010-01-01,Reptiles,VU,288
2009-01-01,Reptiles,VU,226
2008-01-01,Reptiles,VU,203
2007-01-01,Reptiles,VU,204
2006-01-01,Reptiles,VU,167
2004-01-01,Reptiles,VU,161
2003-01-01,Reptiles,VU,158
2002-01-01,Reptiles,VU,159
2000-01-01,Reptiles,VU,161
1998-01-01,Reptiles,VU,153
2020-01-01,Amphibians,CR,587
2019-01-01,Amphibians,CR,588
2018-01-01,Amphibians,CR,550
2017-01-01,Amphibians,CR,552
2016-01-01,Amphibians,CR,546
2015-01-01,Amphibians,CR,528
2014-01-01,Amphibians,CR,518
2013-01-01,Amphibians,CR,520
2012-01-01,Amphibians,CR,509
2011-01-01,Amphibians,CR,498
2010-01-01,Amphibians,CR,486
2009-01-01,Amphibians,CR,484
2008-01-01,Amphibians,CR,475
2007-01-01,Amphibians,CR,441
2006-01-01,Amphibians,CR,442
2004-01-01,Amphibians,CR,413
2003-01-01,Amphibians,CR,30
2002-01-01,Amphibians,CR,30
2000-01-01,Amphibians,CR,25
1998-01-01,Amphibians,CR,18
2020-01-01,Amphibians,EN,965
2019-01-01,Amphibians,EN,964
2018-01-01,Amphibians,EN,903
2017-01-01,Amphibians,EN,869
2016-01-01,Amphibians,EN,852
2015-01-01,Amphibians,EN,810
2014-01-01,Amphibians,EN,789
2013-01-01,Amphibians,EN,783
2012-01-01,Amphibians,EN,767
2011-01-01,Amphibians,EN,764
2010-01-01,Amphibians,EN,758
2009-01-01,Amphibians,EN,754
2008-01-01,Amphibians,EN,755
2007-01-01,Amphibians,EN,737
2006-01-01,Amphibians,EN,738
2004-01-01,Amphibians,EN,729
2003-01-01,Amphibians,EN,37
2002-01-01,Amphibians,EN,37
2000-01-01,Amphibians,EN,38
1998-01-01,Amphibians,EN,31
2020-01-01,Amphibians,VU,650
2019-01-01,Amphibians,VU,648
2018-01-01,Amphibians,VU,639
2017-01-01,Amphibians,VU,679
2016-01-01,Amphibians,VU,670
2015-01-01,Amphibians,VU,656
2014-01-01,Amphibians,VU,650
2013-01-01,Amphibians,VU,647
2012-01-01,Amphibians,VU,657
2011-01-01,Amphibians,VU,655
2010-01-01,Amphibians,VU,654
2009-01-01,Amphibians,VU,657
2008-01-01,Amphibians,VU,675
2007-01-01,Amphibians,VU,630
2006-01-01,Amphibians,VU,631
2004-01-01,Amphibians,VU,628
2003-01-01,Amphibians,VU,90
2002-01-01,Amphibians,VU,90
2000-01-01,Amphibians,VU,83
1998-01-01,Amphibians,VU,75
2020-01-01,Fishes,CR,595
2019-01-01,Fishes,CR,592
2018-01-01,Fishes,CR,486
2017-01-01,Fishes,CR,468
2016-01-01,Fishes,CR,461
2015-01-01,Fishes,CR,446
2014-01-01,Fishes,CR,443
2013-01-01,Fishes,CR,413
2012-01-01,Fishes,CR,415
2011-01-01,Fishes,CR,414
2010-01-01,Fishes,CR,376
2009-01-01,Fishes,CR,306
2008-01-01,Fishes,CR,289
2007-01-01,Fishes,CR,254
2006-01-01,Fishes,CR,253
2004-01-01,Fishes,CR,171
2003-01-01,Fishes,CR,162
2002-01-01,Fishes,CR,157
2000-01-01,Fishes,CR,156
1998-01-01,Fishes,CR,157
2020-01-01,Fishes,EN,897
2019-01-01,Fishes,EN,868
2018-01-01,Fishes,EN,674
2017-01-01,Fishes,EN,676
2016-01-01,Fishes,EN,660
2015-01-01,Fishes,EN,614
2014-01-01,Fishes,EN,587
2013-01-01,Fishes,EN,530
2012-01-01,Fishes,EN,494
2011-01-01,Fishes,EN,477
2010-01-01,Fishes,EN,400
2009-01-01,Fishes,EN,298
2008-01-01,Fishes,EN,269
2007-01-01,Fishes,EN,254
2006-01-01,Fishes,EN,237
2004-01-01,Fishes,EN,160
2003-01-01,Fishes,EN,144
2002-01-01,Fishes,EN,143
2000-01-01,Fishes,EN,144
1998-01-01,Fishes,EN,134
2020-01-01,Fishes,VU,1229
2019-01-01,Fishes,VU,1214
2018-01-01,Fishes,VU,1172
2017-01-01,Fishes,VU,1242
2016-01-01,Fishes,VU,1238
2015-01-01,Fishes,VU,1211
2014-01-01,Fishes,VU,1192
2013-01-01,Fishes,VU,1167
2012-01-01,Fishes,VU,1149
2011-01-01,Fishes,VU,1137
2010-01-01,Fishes,VU,1075
2009-01-01,Fishes,VU,810
2008-01-01,Fishes,VU,717
2007-01-01,Fishes,VU,693
2006-01-01,Fishes,VU,681
2004-01-01,Fishes,VU,470
2003-01-01,Fishes,VU,444
2002-01-01,Fishes,VU,442
2000-01-01,Fishes,VU,452
1998-01-01,Fishes,VU,443
2020-01-01,Insects,CR,322
2019-01-01,Insects,CR,311
2018-01-01,Insects,CR,300
2017-01-01,Insects,CR,273
2016-01-01,Insects,CR,226
2015-01-01,Insects,CR,176
2014-01-01,Insects,CR,168
2013-01-01,Insects,CR,125
2012-01-01,Insects,CR,119
2011-01-01,Insects,CR,91
2010-01-01,Insects,CR,89
2009-01-01,Insects,CR,89
2008-01-01,Insects,CR,70
2007-01-01,Insects,CR,69
2006-01-01,Insects,CR,68
2004-01-01,Insects,CR,47
2003-01-01,Insects,CR,46
2002-01-01,Insects,CR,46
2000-01-01,Insects,CR,45
1998-01-01,Insects,CR,44
2020-01-01,Insects,EN,641
2019-01-01,Insects,EN,571
2018-01-01,Insects,EN,537
2017-01-01,Insects,EN,461
2016-01-01,Insects,EN,408
2015-01-01,Insects,EN,305
2014-01-01,Insects,EN,270
2013-01-01,Insects,EN,247
2012-01-01,Insects,EN,207
2011-01-01,Insects,EN,169
2010-01-01,Insects,EN,166
2009-01-01,Insects,EN,151
2008-01-01,Insects,EN,132
2007-01-01,Insects,EN,129
2006-01-01,Insects,EN,129
2004-01-01,Insects,EN,120
2003-01-01,Insects,EN,118
2002-01-01,Insects,EN,118
2000-01-01,Insects,EN,118
1998-01-01,Insects,EN,116
2020-01-01,Insects,VU,796
2019-01-01,Insects,VU,765
2018-01-01,Insects,VU,700
2017-01-01,Insects,VU,680
2016-01-01,Insects,VU,634
2015-01-01,Insects,VU,565
2014-01-01,Insects,VU,555
2013-01-01,Insects,VU,524
2012-01-01,Insects,VU,503
2011-01-01,Insects,VU,481
2010-01-01,Insects,VU,478
2009-01-01,Insects,VU,471
2008-01-01,Insects,VU,424
2007-01-01,Insects,VU,425
2006-01-01,Insects,VU,426
2004-01-01,Insects,VU,392
2003-01-01,Insects,VU,389
2002-01-01,Insects,VU,393
2000-01-01,Insects,VU,392
1998-01-01,Insects,VU,377
2020-01-01,Plants,CR,3325
2019-01-01,Plants,CR,3229
2018-01-01,Plants,CR,2879
2017-01-01,Plants,CR,2722
2016-01-01,Plants,CR,2506
2015-01-01,Plants,CR,2347
2014-01-01,Plants,CR,2119
2013-01-01,Plants,CR,1957
2012-01-01,Plants,CR,1821
2011-01-01,Plants,CR,1731
2010-01-01,Plants,CR,1619
2009-01-01,Plants,CR,1577
2008-01-01,Plants,CR,1575
2007-01-01,Plants,CR,1569
2006-01-01,Plants,CR,1541
2004-01-01,Plants,CR,1490
2003-01-01,Plants,CR,1276
2002-01-01,Plants,CR,1046
2000-01-01,Plants,CR,1014
1998-01-01,Plants,CR,909
2020-01-01,Plants,EN,6063
2019-01-01,Plants,EN,5727
2018-01-01,Plants,EN,4537
2017-01-01,Plants,EN,4123
2016-01-01,Plants,EN,3691
2015-01-01,Plants,EN,3510
2014-01-01,Plants,EN,3231
2013-01-01,Plants,EN,3009
2012-01-01,Plants,EN,2655
2011-01-01,Plants,EN,2564
2010-01-01,Plants,EN,2397
2009-01-01,Plants,EN,2316
2008-01-01,Plants,EN,2280
2007-01-01,Plants,EN,2278
2006-01-01,Plants,EN,2258
2004-01-01,Plants,EN,2239
2003-01-01,Plants,EN,1634
2002-01-01,Plants,EN,1291
2000-01-01,Plants,EN,1266
1998-01-01,Plants,EN,1197
2020-01-01,Plants,VU,7072
2019-01-01,Plants,VU,6818
2018-01-01,Plants,VU,5883
2017-01-01,Plants,VU,5660
2016-01-01,Plants,VU,5446
2015-01-01,Plants,VU,5376
2014-01-01,Plants,VU,5234
2013-01-01,Plants,VU,5099
2012-01-01,Plants,VU,4914
2011-01-01,Plants,VU,4861
2010-01-01,Plants,VU,4708
2009-01-01,Plants,VU,4607
2008-01-01,Plants,VU,4602
2007-01-01,Plants,VU,4600
2006-01-01,Plants,VU,4591
2004-01-01,Plants,VU,4592
2003-01-01,Plants,VU,3864
2002-01-01,Plants,VU,3377
2000-01-01,Plants,VU,3331
1998-01-01,Plants,VU,3222
