Country,Region,CountryCode,Mammals,Birds,Reptiles,Amphibians,Fishes,Molluscs,Other Inverts,Plants,Fungi & Protists,Total by Taxonomy,EX,EW,Subtotal,CR(PE)**,CR(PEW)**,Subtotal(EX+EW+CR(PE)+CR(PEW)),CR,EN,VU,Subtotal(cr+en+vu),NT,LR/cd,DD,LC,Total Species
Algeria,North Africa,DZA,14,15,8,3,45,12,30,26,2,155,2,1,3,0,0,3,17,38,72,127,58,0,139,921,"1,248"
Egypt,North Africa,EGY,18,14,13,0,62,1,56,8,0,172,1,1,2,0,0,2,14,28,122,164,136,2,180,"1,729","2,213"
Libya,North Africa,LBY,10,8,6,0,38,1,4,8,0,75,0,1,1,0,0,1,10,16,41,67,28,0,68,684,848
Morocco,North Africa,MAR,18,18,13,2,55,38,33,56,5,238,2,0,2,0,0,2,29,59,89,177,81,0,182,"1,440","1,882"
Tunisia,North Africa,TUN,14,11,6,1,42,8,13,10,2,107,11,0,11,1,0,12,15,24,56,95,48,0,99,846,"1,099"
Western Sahara,North Africa,ESH,10,5,1,0,39,2,1,0,0,58,0,1,1,0,0,1,6,18,34,58,32,0,108,921,"1,120"
Angola,Sub-Saharan Africa,AGO,22,33,7,0,55,7,4,43,0,171,0,0,0,0,0,0,15,36,77,128,61,0,235,"2,498","2,922"
Benin,Sub-Saharan Africa,BEN,16,12,7,1,46,2,1,21,0,106,0,0,0,0,0,0,15,19,51,85,49,0,111,"1,689","1,934"
Botswana,Sub-Saharan Africa,BWA,11,16,1,0,2,0,0,3,0,33,0,0,0,0,0,0,4,7,19,30,29,0,10,"1,031","1,100"
Burkina Faso,Sub-Saharan Africa,BFA,11,12,3,0,4,1,0,5,0,36,0,1,1,0,0,1,7,6,18,31,22,0,3,790,847
Burundi,Sub-Saharan Africa,BDI,16,14,0,1,17,3,3,134,0,188,0,0,0,0,0,0,6,15,33,54,39,0,36,"1,063","1,192"
Cabo Verde,Sub-Saharan Africa,CMR,4,7,6,0,38,13,0,51,0,119,1,0,1,0,0,1,9,21,38,68,31,0,99,897,"1,096"
Cameroon,Sub-Saharan Africa,CPV,47,29,13,57,126,13,13,592,0,890,0,0,0,2,0,2,64,107,127,298,82,0,214,"2,640","3,234"
Central African Republic,Sub-Saharan Africa,CAF,19,16,5,0,4,0,0,29,0,73,0,0,0,0,0,0,9,9,26,44,27,0,48,"1,379","1,498"
Chad,Sub-Saharan Africa,TCD,16,16,5,0,1,4,0,6,0,48,0,1,1,0,0,1,11,5,26,42,21,0,12,837,913
Comoros,Sub-Saharan Africa,COM,5,14,5,0,17,0,77,9,0,127,0,0,0,1,0,1,7,27,84,118,109,0,80,"1,331","1,638"
Congo,Sub-Saharan Africa,COG,18,7,6,1,60,7,0,56,0,155,0,0,0,0,0,0,10,22,67,99,46,0,151,"2,011","2,307"
"Congo, The Democratic Republic of the",Sub-Saharan Africa,COD,42,40,9,11,101,44,10,240,0,497,0,0,0,4,0,4,31,75,151,257,93,0,434,"3,599","4,383"
Côte d'Ivoire,Sub-Saharan Africa,CIV,33,25,8,8,66,5,2,133,0,280,0,0,0,2,0,2,20,38,89,147,91,0,145,"2,010","2,393"
Djibouti,Sub-Saharan Africa,DJI,11,12,1,0,26,1,56,3,0,110,0,0,0,0,0,0,11,14,82,107,124,0,111,"1,444","1,786"
Equatorial Guinea,Sub-Saharan Africa,GNQ,24,6,8,5,51,2,2,107,0,205,0,0,0,0,0,0,15,30,53,98,41,0,117,"1,589","1,845"
Eritrea,Sub-Saharan Africa,ERI,16,21,7,0,35,1,57,6,0,143,0,0,0,0,0,0,16,21,100,137,138,0,117,"1,588","1,980"
Eswatini,Sub-Saharan Africa,ETH,9,13,1,0,5,0,0,13,0,41,0,0,0,0,0,0,4,6,18,28,22,0,6,793,849
Ethiopia,Sub-Saharan Africa,GAB,37,35,3,12,14,4,11,64,0,180,0,0,0,2,0,2,17,38,61,116,45,0,63,"1,364","1,588"
Gabon,Sub-Saharan Africa,GMB,18,7,7,4,74,2,2,215,0,329,0,0,0,0,0,0,12,33,69,114,47,0,172,"2,046","2,379"
